Opponent,Line,Our_Score,Their_Score,Event_Type,Act,Passer,Receiver,Defender,Player_0,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player 7,Elapsed Time (secs)
vs Thunderbirds,D,3,0,Offense,Catch,Jimmy,Kennedy,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,361
vs Thunderbirds,D,3,0,Offense,Catch,Kennedy,JRob,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,365
vs Thunderbirds,D,3,0,Offense,Catch,JRob,Kennedy,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,369
vs Thunderbirds,D,3,0,Offense,Catch,Kennedy,Matzuka,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,373
vs Thunderbirds,D,3,0,Offense,Catch,Matzuka,Anonymous,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,377
vs Thunderbirds,D,3,0,Offense,Catch,Anonymous,J Silver,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,381
vs Thunderbirds,D,3,0,Offense,Throwaway,J Silver,Anonymous,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,385
vs Thunderbirds,D,3,0,Defense,D,,,Matzuka,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,392
vs Thunderbirds,D,3,0,Offense,Catch,Matzuka,MattSteg,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,425
vs Thunderbirds,D,3,0,Offense,Catch,MattSteg,Matzuka,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,429
vs Thunderbirds,D,3,0,Offense,Catch,Matzuka,Kennedy,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,436
vs Thunderbirds,D,3,0,Offense,Catch,Kennedy,MattSteg,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,441
vs Thunderbirds,D,3,0,Offense,Catch,MattSteg,Kennedy,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,445
vs Thunderbirds,D,3,0,Offense,Catch,Kennedy,Jimmy,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,448
vs Thunderbirds,D,3,0,Offense,Catch,Jimmy,Matzuka,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,455
vs Thunderbirds,D,3,0,Offense,Catch,Matzuka,J Silver,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,463
vs Thunderbirds,D,3,0,Offense,Goal,J Silver,MattSteg,,J Silver,MattSteg,Max,Kennedy,JRob,Matzuka,Jimmy,,468
vs Thunderbirds,D,3,1,Defense,Pull,,,Goose,Kaufmann,Bob,Goose,JRob,DW,Slymer,Sheehan,,629
vs Thunderbirds,D,3,1,Defense,Goal,,,Anonymous,Kaufmann,Bob,Goose,JRob,DW,Slymer,Sheehan,,676
vs Thunderbirds,O,4,1,Offense,Catch,Fergus,Adrian,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,752
vs Thunderbirds,O,4,1,Offense,Catch,Adrian,Fergus,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,762
vs Thunderbirds,O,4,1,Offense,Catch,Fergus,Cullen,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,765
vs Thunderbirds,O,4,1,Offense,Catch,Cullen,Danny,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,771
vs Thunderbirds,O,4,1,Offense,Catch,Danny,Shiel,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,775
vs Thunderbirds,O,4,1,Offense,Catch,Shiel,Jack,,Jack,Adrian,Shiel,Fergus,Matzuka,Danny,Cullen,,779
